model_id,dim,M,rep,seed,method,selected_h,sup_err,ise,f_hat,min_D_hat,gap_to_oracle,is_grid_boundary
gg_1d,1,4000,4,3195502165,lepski,0.212132034356,0.16425169463272038,0.13156497395735564,0.3841962577298183,0.005419336446745292,1.209553333621215,0
gg_1d,1,4000,5,1460719170,oracle,0.106066017178,0.09668013062664915,0.1064801947322789,0.4106586539043521,0.005567789893449406,1.0,0
gg_1d,1,4000,5,1460719170,lepski,0.106066017178,0.09668013062664915,0.1064801947322789,0.4106586539043521,0.005567789893449406,1.0,0
gg_1d,1,4000,6,2033282004,oracle,0.3,0.08361390185759499,0.10711793009797348,0.390514430895916,0.0069962655221943604,1.0,0
gg_1d,1,4000,6,2033282004,lepski,0.3,0.08361390185759499,0.10711793009797348,0.390514430895916,0.0069962655221943604,1.0,0
gg_1d,1,4000,7,1997989380,oracle,0.212132034356,0.07382325976955073,0.07054590271418724,0.3832485520209451,0.005831924905803956,1.0,0
gg_1d,1,4000,7,1997989380,lepski,0.15,0.14417753979359826,0.10633621124383434,0.383441092685316,0.005458267141492722,1.9530096644833608,0
gg_1d,1,4000,8,2042481486,oracle,0.15,0.2121967302561556,0.189929595837602,0.41638299501485765,0.005760026535553747,1.0,0
gg_1d,1,4000,8,2042481486,lepski,0.106066017178,0.3049899046059723,0.288431823163632,0.4173331177084406,0.004495112854854503,1.4372978520347623,0
gg_1d,1,4000,9,1144269602,oracle,0.424264068712,0.2508827761658896,0.23680455435793912,0.40666662980903767,0.007665782266830314,1.0,0
gg_1d,1,4000,9,1144269602,lepski,0.106066017178,0.6327161857350645,0.4346178473971346,0.4514019800985757,0.010012664530185048,2.5219594401996637,0
gg_1d,1,4000,10,2396799522,oracle,0.3,0.11541786602229465,0.08681511568236079,0.3987938696878093,0.005776915491618982,1.0,0
